"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1166","Successful courier login","tests","Thu Jul 17 11:14:19 MSK 2025","passed","Thu Jul 17 11:14:20 MSK 2025","TestLoginCourier","test_iogin_courier","",""
"","1194","Create order with color: ['BLACK', 'GREY']","tests","Thu Jul 17 11:14:35 MSK 2025","passed","Thu Jul 17 11:14:37 MSK 2025","TestCreationOrder","test_make_order","",""
"","2443","Successful order creation with all color variations. Handle: /api/v1/orders","tests","Thu Jul 17 10:21:52 MSK 2025","failed","Thu Jul 17 10:21:55 MSK 2025","TestCreationOrder","test_make_order","",""
"","1152","Login with empty password","tests","Thu Jul 17 11:14:25 MSK 2025","passed","Thu Jul 17 11:14:26 MSK 2025","TestLoginCourier","test_iogin_courier","",""
"","1206","Create order with color: ['BLACK']","tests","Thu Jul 17 11:14:33 MSK 2025","passed","Thu Jul 17 11:14:34 MSK 2025","TestCreationOrder","test_make_order","",""
"","1160","Login with empty login","tests","Thu Jul 17 11:14:30 MSK 2025","passed","Thu Jul 17 11:14:31 MSK 2025","TestLoginCourier","test_iogin_courier","",""
"","1149","Login with unregistered courier","tests","Thu Jul 17 11:14:22 MSK 2025","passed","Thu Jul 17 11:14:24 MSK 2025","TestLoginCourier","test_iogin_courier","",""
"","1212","Successful order creation with all color variations","tests","Thu Jul 17 10:54:53 MSK 2025","passed","Thu Jul 17 10:54:54 MSK 2025","TestCreationOrder","test_get_order_list","",""
"","11166","Successful order cancellation","tests","Thu Jul 17 11:05:57 MSK 2025","failed","Thu Jul 17 11:06:09 MSK 2025","TestOrderCancellation","test_get_order_list","",""
"","5480","Проверка получения списка заказов","tests","Thu Jul 17 11:14:12 MSK 2025","passed","Thu Jul 17 11:14:18 MSK 2025","TestOrderList","test_get_order_list","",""
"","1143","Create order with color: []","tests","Thu Jul 17 11:14:37 MSK 2025","passed","Thu Jul 17 11:14:38 MSK 2025","TestCreationOrder","test_make_order","",""
"","1","test_creation_courier_success","tests","Thu Jul 17 11:14:06 MSK 2025","passed","Thu Jul 17 11:14:06 MSK 2025","TestsCreateNewCourier","test_create_courier","",""
"","1171","Create order with color: ['GREY']","tests","Thu Jul 17 11:14:34 MSK 2025","passed","Thu Jul 17 11:14:35 MSK 2025","TestCreationOrder","test_make_order","",""
"","1216","Successful order creation with all color variations","tests","Thu Jul 17 10:54:57 MSK 2025","passed","Thu Jul 17 10:54:58 MSK 2025","TestCreationOrder","test_get_order_list","",""
"","2334","Successful order creation with all color variations. Handle: /api/v1/orders","tests","Thu Jul 17 10:21:59 MSK 2025","failed","Thu Jul 17 10:22:02 MSK 2025","TestCreationOrder","test_make_order","",""
"","1132","test_creation_courier_clone_error","tests","Thu Jul 17 11:14:10 MSK 2025","passed","Thu Jul 17 11:14:11 MSK 2025","TestsCreateNewCourier","test_create_courier","",""
"","1173","Successful order creation with all color variations","tests","Thu Jul 17 10:54:54 MSK 2025","passed","Thu Jul 17 10:54:56 MSK 2025","TestCreationOrder","test_get_order_list","",""
"","2404","Successful order creation with all color variations. Handle: /api/v1/orders","tests","Thu Jul 17 10:21:57 MSK 2025","failed","Thu Jul 17 10:21:59 MSK 2025","TestCreationOrder","test_make_order","",""
"","2407","Successful order creation with all color variations. Handle: /api/v1/orders","tests","Thu Jul 17 10:21:55 MSK 2025","failed","Thu Jul 17 10:21:57 MSK 2025","TestCreationOrder","test_make_order","",""
"","1212","Successful order creation with all color variations","tests","Thu Jul 17 10:54:56 MSK 2025","passed","Thu Jul 17 10:54:57 MSK 2025","TestCreationOrder","test_get_order_list","",""
